#This is the full journey report starting at time 0
#For every pair of vertices, the foremost and shortest journeys are displayed
#Each edge is in the form (originNode[traversalTime]destinationNode)

#This report is for the trace: null
#Uploaded to DTNTES by: null
#No link to the trace was provided

Node 4 to node 32
Foremost Journey: 4 [49] 32
Shortest Journey: 4 [49] 32

Node 4 to node 33
Foremost Journey: 4 [49] 33
Shortest Journey: 4 [49] 33

Node 4 to node 34
Foremost Journey: 4 [49] 34
Shortest Journey: 4 [49] 34

Node 4 to node 35
Foremost Journey: 4 [49] 35
Shortest Journey: 4 [49] 35

Node 4 to node 36
Foremost Journey: 4 [49] 36
Shortest Journey: 4 [49] 36

Node 4 to node 37
Foremost Journey: 4 [49] 37
Shortest Journey: 4 [49] 37

Node 4 to node 38
Foremost Journey: 4 [49] 38
Shortest Journey: 4 [49] 38

Node 4 to node 39
Foremost Journey: 4 [49] 39
Shortest Journey: 4 [49] 39

Node 4 to node 40
Foremost Journey: 4 [49] 40
Shortest Journey: 4 [49] 40

Node 4 to node 41
Foremost Journey: 4 [49] 41
Shortest Journey: 4 [49] 41

Node 4 to node 42
Foremost Journey: 4 [49] 42
Shortest Journey: 4 [49] 42

Node 4 to node 43
Foremost Journey: 4 [49] 43
Shortest Journey: 4 [49] 43

Node 4 to node 44
Foremost Journey: 4 [49] 44
Shortest Journey: 4 [49] 44

Node 4 to node 45
Foremost Journey: 4 [49] 45
Shortest Journey: 4 [49] 45

Node 4 to node 46
Foremost Journey: 4 [49] 46
Shortest Journey: 4 [49] 46

Node 4 to node 47
Foremost Journey: 4 [49] 47
Shortest Journey: 4 [49] 47

Node 4 to node 48
Foremost Journey: 4 [49] 48
Shortest Journey: 4 [49] 48

Node 4 to node 49
Foremost Journey: 4 [49] 49
Shortest Journey: 4 [49] 49

Node 5 to node 0
Foremost Journey: 5 [49] 0
Shortest Journey: 5 [49] 0

Node 5 to node 1
Foremost Journey: 5 [49] 1
Shortest Journey: 5 [49] 1

Node 5 to node 2
Foremost Journey: 5 [49] 2
Shortest Journey: 5 [49] 2

Node 5 to node 3
Foremost Journey: 5 [49] 3
Shortest Journey: 5 [49] 3

Node 5 to node 4
Foremost Journey: 5 [49] 4
Shortest Journey: 5 [49] 4

Node 5 to node 6
Foremost Journey: 5 [49] 6
Shortest Journey: 5 [49] 6

Node 5 to node 7
Foremost Journey: 5 [49] 7
Shortest Journey: 5 [49] 7

Node 5 to node 8
Foremost Journey: 5 [49] 8
Shortest Journey: 5 [49] 8

Node 5 to node 9
Foremost Journey: 5 [49] 9
Shortest Journey: 5 [49] 9

Node 5 to node 10
Foremost Journey: 5 [49] 10
Shortest Journey: 5 [49] 10

Node 5 to node 11
Foremost Journey: 5 [49] 11
Shortest Journey: 5 [49] 11

Node 5 to node 12
Foremost Journey: 5 [49] 12
Shortest Journey: 5 [49] 12

Node 5 to node 13
Foremost Journey: 5 [49] 13
Shortest Journey: 5 [49] 13

Node 5 to node 14
Foremost Journey: 5 [49] 14
Shortest Journey: 5 [49] 14

Node 5 to node 15
Foremost Journey: 5 [49] 15
Shortest Journey: 5 [49] 15

Node 5 to node 16
Foremost Journey: 5 [49] 16
Shortest Journey: 5 [49] 16

Node 5 to node 17
Foremost Journey: 5 [49] 17
Shortest Journey: 5 [49] 17

Node 5 to node 18
Foremost Journey: 5 [49] 18
Shortest Journey: 5 [49] 18

Node 5 to node 19
Foremost Journey: 5 [49] 19
Shortest Journey: 5 [49] 19

Node 5 to node 20
Foremost Journey: 5 [49] 20
Shortest Journey: 5 [49] 20

Node 5 to node 21
Foremost Journey: 5 [49] 21
Shortest Journey: 5 [49] 21

Node 5 to node 22
Foremost Journey: 5 [49] 22
Shortest Journey: 5 [49] 22

Node 5 to node 23
Foremost Journey: 5 [49] 23
Shortest Journey: 5 [49] 23

Node 5 to node 24
Foremost Journey: 5 [49] 24
Shortest Journey: 5 [49] 24

Node 5 to node 25
Foremost Journey: 5 [49] 25
Shortest Journey: 5 [49] 25

Node 5 to node 26
Foremost Journey: 5 [49] 26
Shortest Journey: 5 [49] 26

Node 5 to node 27
Foremost Journey: 5 [49] 27
Shortest Journey: 5 [49] 27

Node 5 to node 28
Foremost Journey: 5 [49] 28
Shortest Journey: 5 [49] 28

Node 5 to node 29
Foremost Journey: 5 [49] 29
Shortest Journey: 5 [49] 29

Node 5 to node 30
Foremost Journey: 5 [49] 30
Shortest Journey: 5 [49] 30

Node 5 to node 31
Foremost Journey: 5 [49] 31
Shortest Journey: 5 [49] 31

Node 5 to node 32
Foremost Journey: 5 [49] 32
Shortest Journey: 5 [49] 32

Node 5 to node 33
Foremost Journey: 5 [49] 33
Shortest Journey: 5 [49] 33

Node 5 to node 34
Foremost Journey: 5 [49] 34
Shortest Journey: 5 [49] 34

Node 5 to node 35
Foremost Journey: 5 [49] 35
Shortest Journey: 5 [49] 35

Node 5 to node 36
Foremost Journey: 5 [49] 36
Shortest Journey: 5 [49] 36

Node 5 to node 37
Foremost Journey: 5 [49] 37
Shortest Journey: 5 [49] 37

Node 5 to node 38
Foremost Journey: 5 [49] 38
Shortest Journey: 5 [49] 38

Node 5 to node 39
Foremost Journey: 5 [49] 39
Shortest Journey: 5 [49] 39

Node 5 to node 40
Foremost Journey: 5 [49] 40
Shortest Journey: 5 [49] 40

Node 5 to node 41
Foremost Journey: 5 [49] 41
Shortest Journey: 5 [49] 41

Node 5 to node 42
Foremost Journey: 5 [49] 42
Shortest Journey: 5 [49] 42

Node 5 to node 43
Foremost Journey: 5 [49] 43
Shortest Journey: 5 [49] 43

Node 5 to node 44
Foremost Journey: 5 [49] 44
Shortest Journey: 5 [49] 44

Node 5 to node 45
Foremost Journey: 5 [49] 45
Shortest Journey: 5 [49] 45

Node 5 to node 46
Foremost Journey: 5 [49] 46
Shortest Journey: 5 [49] 46

Node 5 to node 47
Foremost Journey: 5 [49] 47
Shortest Journey: 5 [49] 47

Node 5 to node 48
Foremost Journey: 5 [49] 48
Shortest Journey: 5 [49] 48

Node 5 to node 49
Foremost Journey: 5 [49] 49
Shortest Journey: 5 [49] 49

Node 6 to node 0
Foremost Journey: 6 [49] 0
Shortest Journey: 6 [49] 0

Node 6 to node 1
Foremost Journey: 6 [49] 1
Shortest Journey: 6 [49] 1

Node 6 to node 2
Foremost Journey: 6 [49] 2
Shortest Journey: 6 [49] 2

Node 6 to node 3
Foremost Journey: 6 [49] 3
Shortest Journey: 6 [49] 3

Node 6 to node 4
Foremost Journey: 6 [49] 4
Shortest Journey: 6 [49] 4

Node 6 to node 5
Foremost Journey: 6 [49] 5
Shortest Journey: 6 [49] 5

Node 6 to node 7
Foremost Journey: 6 [49] 7
Shortest Journey: 6 [49] 7

Node 6 to node 8
Foremost Journey: 6 [49] 8
Shortest Journey: 6 [49] 8

Node 6 to node 9
Foremost Journey: 6 [49] 9
Shortest Journey: 6 [49] 9

Node 6 to node 10
Foremost Journey: 6 [49] 10
Shortest Journey: 6 [49] 10

Node 6 to node 11
Foremost Journey: 6 [49] 11
Shortest Journey: 6 [49] 11

Node 6 to node 12
Foremost Journey: 6 [49] 12
Shortest Journey: 6 [49] 12

Node 6 to node 13
